Feature,RF,LR,Average
VisITedResources,1.0,0.8232370477333943,0.9116185238666972
StudentAbsenceDays,0.6802177023919758,1.0,0.8401088511959879
raisedhands,0.8462636528957177,0.7589904937049144,0.802627073300316
AnnouncementsView,0.6070294725143769,0.6379267159790658,0.6224780942467214
Discussion,0.46360650190527836,0.35376611892871423,0.4086863104169963
ParentAnsweringSurvey,0.20049720275926572,0.36338285804334114,0.28194003040130344
Relation,0.21922554095805818,0.31936986347107893,0.26929770221456856
Topic,0.23347551329977959,0.17470378913043258,0.20408965121510608
PlaceofBirth,0.17227428392132374,0.2142395356794968,0.19325690980041027
GradeID,0.19231817489104217,0.18527708003279827,0.18879762746192022
gender,0.11194389229542463,0.22840043738789959,0.17017216484166212
NationalITy,0.18767238924527682,0.13186068199791354,0.15976653562159518
ParentschoolSatisfaction,0.11912230529999211,0.1684449058442144,0.14378360557210326
StageID,0.07924325553430656,0.11637793798020815,0.09781059675725735
SectionID,0.09035288800842713,0.07740496039116092,0.08387892419979402
Semester,0.05266232321500911,0.04636182891845184,0.04951207606673048
